visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 25948546
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
   0.00       0.00      0.005  440                    4       756-767     MakeInputSpan                        757:240, 758:120, 756:80, 767:0
   0.00       0.00      0.004  380                    1       431-437     GetUBAvaliedAddr                     436:380
   0.00       0.00      0.004  360                    4       209-224     InitKfcClient                        217:200, 222:80, 215:40, 216:40
   0.00       0.00      0.004  360                    1       2667-2678   copy_data_align64                    2677:360
   0.00       0.00      0.004  320                    2       1526-1544   ResolveRequestTokenRange             1528:200, 1526:120
   0.00       0.00      0.004  320                    1       58-64       Allocate                             61:320
   0.00       0.00      0.004  320                    1       86-89       Reset                                88:320
   0.00       0.00      0.004  320                    1       110-113     IsAKL1FullLoad                       112:320
   0.00       0.00      0.004  320                    13      248-300     SetSingleShapeImpl                   256:40, 275:40, 279:40, 283:40, 284:40, 289:40, 296:40, 298:40
   0.00       0.00      0.004  320                    1       37-40       Init                                 39:320
   0.00       0.00      0.004  320                    1       42-44       SetSingleShape                       43:320
   0.00       0.00      0.004  320                    2       395-412     Load3DSetFMatrixCal                  402:160, 410:160
   0.00       0.00      0.004  320                    1       118-124     DcciGMImpl                           123:320
   0.00       0.00      0.004  320                    1       48-51       Ceil                                 50:320
   0.00       0.00      0.004  320                    1       27-32       DataCacheCleanAndInvalid             31:320
   0.00       0.00      0.003  280                    1       unknown     <unknown>                            242:280
   0.00       0.00      0.002  220                    2       unknown     <unknown>                            37:120, 125:100
   0.00       0.00      0.002  200                    3       141-155     InitParams                           147:120, 143:40, 153:40
   0.00       0.00      0.002  200                    1       30-33       SetTransposeA                        32:200
   0.00       0.00      0.002  200                    1       38-41       Init                                 40:200
   0.00       0.00      0.002  200                    9       193-210     SetSingleShapeFromTiling             196:40, 199:40, 203:40, 204:40, 209:40, 197:0, 198:0, 201:0
   0.00       0.00      0.002  200                    1       36-39       Init                                 38:200
   0.00       0.00      0.002  200                    1       41-53       SetSingleShape                       47:200
   0.00       0.00      0.002  200                    1       424-429     WaitEventImpl                        428:200
   0.00       0.00      0.002  200                    1       404-418     GetUBMapAddr                         417:200
   0.00       0.00      0.002  200                    3       554-567     InitShareBufEnd                      557:80, 558:80, 559:40
   0.00       0.00      0.002  200                    1       328-333     WaitEvent                            332:200
   0.00       0.00      0.002  200                    1       103-111     GetBufferLogicPos                    106:200
   0.00       0.00      0.002  180                    2       47-64       GetBlockIdxImpl                      59:120, 61:60
   0.00       0.00      0.002  180                    2       66-78       SetSysWorkspace                      74:180, 75:0
   0.00       0.00      0.002  160                    3       1410-1422   ResolveTokenSlotU                    1410:160, 1421:0, 1422:0
   0.00       0.00      0.002  160                    1       295-302     SetSelfDefineData                    301:160
   0.00       0.00      0.002  160                    1       35-38       SetTransposeB                        37:160
