visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Task Duration(us): 287.500
Profile source instructions: 25948546
Selected source instructions: 25948546
Profile%  Selected%  Est(us)    Instructions Executed  Records  Lines       Function  Hot Lines
   0.22       0.22      0.635  57344                  2       253-260     WholeReduceSumImpl                   258:40960, 257:16384
   0.22       0.22      0.635  57344                  1       270-276     WholeReduceSumImpl                   275:57344
   0.22       0.22      0.635  57344                  1       454-472     WholeReduceSum                       470:57344
   0.22       0.22      0.627  56556                  31      937-1062    WaitFlagImpl                         1049:16424, 1052:16384, 1040:10720, 942:2880, 980:2848, 954:1340, 948:960, 971:960
   0.21       0.21      0.616  55616                  1       90-110      SetMask                              108:55616
   0.21       0.21      0.602  54320                  13      110-152     ReduceKOneIter                       143:26320, 115:10080, 119:8480, 134:3200, 122:2240, 147:1600, 113:640, 114:640
   0.21       0.21      0.591  53356                  1       302-319     WaitFlagInternal                     317:53356
   0.20       0.20      0.584  52716                  1       44-62       WaitFlag                             61:52716
   0.19       0.19      0.545  49152                  3       359-375     AndImpl                              372:24576, 373:16384, 369:8192
   0.19       0.19      0.545  49152                  1       133-157     CompareCompute                       152:49152
   0.19       0.19      0.545  49152                  1       182-191     VcmpvImpl                            188:49152
   0.19       0.19      0.545  49152                  1       204-216     VcmpvImpl                            214:49152
   0.19       0.19      0.545  49152                  1       650-662     And                                  660:49152
   0.19       0.19      0.545  49152                  1       159-186     Compare                              184:49152
   0.18       0.18      0.524  47332                  1       60-64       isRun                                63:47332
   0.17       0.17      0.477  43008                  3       262-271     copy_packed_ub_to_gm_async           268:18432, 265:12288, 266:12288
   0.16       0.16      0.471  42504                  2       63-76       GetTPipePtr                          69:40224, 67:2280
   0.16       0.16      0.454  40960                  1       26-72       VcmpvIntrinsicsImpl                  38:40960
   0.14       0.14      0.415  37480                  10      unknown     <unknown>                            63:9600, 64:7040, 66:5120, 61:4160, 65:4160, 68:3680, 60:3360, 62:320
   0.13       0.13      0.367  33088                  1       28-33       DuplicateIntrinsicsImpl              32:33088
   0.12       0.12      0.358  32320                  3       91-113      MoveNext                             98:25120, 94:5600, 93:1600
   0.12       0.12      0.351  31640                  3       55-61       TPipe::~TPipe                        56:15820, 60:15640, 57:180
   0.12       0.12      0.346  31200                  1       143-146     SetMaskCountImpl                     145:31200
   0.12       0.12      0.346  31200                  1       108-111     SetMaskCount                         110:31200
   0.10       0.10      0.300  27040                  2       73-80       AllocTensor                          78:24640, 79:2400
   0.10       0.10      0.295  26624                  1       564-576     ShiftLeft                            574:26624
   0.10       0.10      0.284  25600                  1       447-452     End                                  451:25600
   0.10       0.10      0.284  25600                  4       147-165     End                                  156:7840, 152:7680, 153:6880, 155:3200
   0.10       0.10      0.278  25056                  1       148-151     SetMaskNormImpl                      150:25056
   0.10       0.10      0.278  25056                  1       113-116     SetMaskNorm                          115:25056
   0.10       0.10      0.276  24880                  8       212-225     ComputeKDB                           218:10320, 217:8480, 221:3040, 216:1280, 223:960, 219:320, 220:320, 222:160
   0.10       0.10      0.275  24800                  7       125-159     MoveOnIterateOrderM                  144:8160, 135:6560, 143:2880, 133:2080, 129:1920, 142:1920, 134:1280
   0.10       0.10      0.274  24696                  2       121-125     TqSyncSToV                           121:16464, 122:8232
   0.09       0.09      0.272  24576                  2       115-119     TqSyncVToS                           115:16384, 116:8192
   0.09       0.09      0.272  24576                  1       47-58       Brcb                                 57:24576
