visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
954   0                      1       32
955   0                      1       32
956   0                      1       32
957   0                      1       16
960   0                      1       16
963   0                      1       32
967   0                      1       51
968   0                      1       34
972   0                      1       60
974   0                      1       46
976   0                      1       16
977   0                      1       16
978   0                      1       32
979   0                      1       32
981   0                      1       32
983   0                      1       32
984   0                      1       36
986   0                      1       84
989   0                      1       128
990   0                      1       128
993   0                      1       25
994   0                      1       25
995   0                      1       16
998   0                      1       32
999   0                      1       16
1003  0                      1       32
1008  80                     1       33
1011  760                    1       100
1012  40                     1       53
1013  40                     1       33
1017  2048                   1       20
1031  0                      1       16
1032  0                      1       32
1036  0                      1       16
1037  0                      1       32
1038  0                      1       16
1040  0                      1       69
1041  0                      1       16
1042  0                      1       16
1043  0                      1       16
1045  0                      1       32
1049  0                      1       16
1050  0                      1       34
1055  0                      1       39
1056  0                      1       16
1057  0                      1       16
1058  0                      1       32
1059  0                      1       16
1060  0                      1       16
1066  0                      1       33
1067  0                      1       16
1068  0                      1       33
1069  0                      1       50
1071  0                      1       16
1072  0                      1       16
1075  0                      1       32
1076  0                      1       16
1079  0                      1       32
1080  0                      1       36
1081  0                      1       41
1083  0                      1       73
1084  0                      1       48
1086  0                      1       16
1087  0                      1       48
1088  0                      1       81
1089  0                      1       85
1090  0                      1       36
1093  0                      1       16
1094  0                      1       16
1095  0                      1       70
1096  0                      1       70
1097  0                      1       32
1099  0                      1       16
1102  0                      1       16
1103  0                      1       16
1117  0                      1       11
1120  0                      1       6
1122  0                      1       10
1124  0                      1       2
1125  0                      1       4
1126  0                      1       2
1129  0                      1       2
1130  0                      1       2
1133  0                      1       4
1135  0                      1       8
